fish,exp_path,condition,Gene_TNF,Gene_CORO1A,Gene_IL2RA,Gene_ACTB,Gene_CD69,Gene_IRF8,Gene_GZMB,Gene_CCR7,Gene_IFNG,Gene_GBP4,Gene_TNF_2,Gene_XP01,delta_z_l_TNF,delta_z_l_CORO1A,delta_z_l_IL2RA,delta_z_l_ACTB,delta_z_l_CD69,delta_z_l_IRF8,delta_z_l_GZMB,delta_z_l_CCR7,delta_z_l_IFNG,delta_z_l_GBP4,delta_z_l_TNF_2,delta_z_l_XP01,delta_z_r_TNF,delta_z_r_CORO1A,delta_z_r_IL2RA,delta_z_r_ACTB,delta_z_r_CD69,delta_z_r_IRF8,delta_z_r_GZMB,delta_z_r_CCR7,delta_z_r_IFNG,delta_z_r_GBP4,delta_z_r_TNF_2,delta_z_r_XP01,Gene_CD8,delta_z_l_CD8,delta_z_r_CD8,Gene_CORO1A_2,delta_z_l_CORO1A_2,delta_z_r_CORO1A_2,Gene_SDch0,Gene_SDch1,Gene_GZMB_2,delta_z_l_SDch0,delta_z_l_SDch1,delta_z_l_GZMB_2,delta_z_r_SDch0,delta_z_r_SDch1,delta_z_r_GZMB_2
23002,2025-10-13_Olga6/,2-MIX,0.0,28.0,0.0,5.0,0.0,1.0,4.0,26.0,1.0,3.0,0.0,0.0,,14.0,,14.0,,31.0,13.0,14.0,14.0,18.0,,,,10.0,,22.0,,13.0,22.0,10.0,30.0,22.0,,,16.0,15.0,11.0,,,,1.0,2.0,0.0,17.0,15.0,,27.0,28.0,
23003,2025-10-13_Olga6/,2-MIX,0.0,24.0,0.0,2.0,2.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,,15.0,,16.0,27.0,,17.0,15.0,,,,,,6.0,,23.0,7.0,,27.0,10.0,,,,,6.0,17.0,19.0,,,,0.0,1.0,0.0,,16.0,,,28.0,
23004,2025-10-13_Olga6/,2-MIX,2.0,9.0,0.0,7.0,,1.0,4.0,12.0,0.0,2.0,0.0,1.0,15.0,16.0,,14.0,,15.0,20.0,15.0,,14.0,,27.0,28.0,17.0,,21.0,,29.0,17.0,17.0,,22.0,,17.0,16.0,14.0,11.0,,,,2.0,3.0,,14.0,15.0,,17.0,23.0,
23006,2025-10-13_Olga6/,2-MIX,0.0,16.0,0.0,2.0,0.0,0.0,4.0,9.0,0.0,1.0,0.0,1.0,,14.0,,17.0,,,18.0,15.0,,14.0,,16.0,,15.0,,26.0,,,19.0,17.0,,30.0,,28.0,12.0,14.0,17.0,,,,0.0,0.0,0.0,,,,,,
23007,2025-10-13_Olga6/,2-MIX,4.0,16.0,1.0,19.0,1.0,1.0,5.0,16.0,3.0,0.0,0.0,1.0,14.0,14.0,17.0,14.0,19.0,18.0,17.0,14.0,16.0,,,33.0,11.0,12.0,27.0,14.0,25.0,26.0,16.0,10.0,23.0,,,11.0,8.0,14.0,7.0,,,,0.0,2.0,1.0,,17.0,13.0,,19.0,31.0
23008,2025-10-13_Olga6/,2-MIX,2.0,19.0,1.0,10.0,0.0,1.0,4.0,9.0,0.0,9.0,0.0,0.0,36.0,14.0,37.0,14.0,,31.0,14.0,16.0,,14.0,,,3.0,7.0,7.0,16.0,,13.0,8.0,13.0,,14.0,,,7.0,14.0,11.0,,,,2.0,0.0,0.0,16.0,,,28.0,,
23009,2025-10-13_Olga6/,2-MIX,2.0,14.0,3.0,2.0,0.0,2.0,10.0,28.0,0.0,24.0,0.0,0.0,15.0,13.0,16.0,16.0,,20.0,18.0,14.0,,15.0,,,24.0,8.0,13.0,25.0,,20.0,14.0,3.0,,7.0,,,0.0,,,,,,11.0,2.0,0.0,15.0,14.0,,9.0,29.0,
23010,2025-10-13_Olga6/,2-MIX,1.0,13.0,0.0,12.0,2.0,1.0,6.0,9.0,0.0,0.0,,0.0,28.0,15.0,,15.0,18.0,16.0,19.0,17.0,,,,,16.0,7.0,,11.0,26.0,28.0,9.0,9.0,,,,,8.0,15.0,10.0,,,,0.0,0.0,,,,,,,
23011,2025-10-13_Olga6/,2-MIX,1.0,21.0,2.0,23.0,3.0,1.0,3.0,51.0,0.0,21.0,0.0,0.0,20.0,14.0,13.0,14.0,20.0,14.0,16.0,14.0,,14.0,,,24.0,8.0,17.0,8.0,15.0,30.0,24.0,10.0,,10.0,,,21.0,14.0,10.0,,,,9.0,0.0,0.0,14.0,,,10.0,,
23012,2025-10-13_Olga6/,2-MIX,1.0,19.0,0.0,2.0,1.0,1.0,7.0,17.0,0.0,21.0,0.0,0.0,17.0,14.0,,15.0,14.0,16.0,13.0,14.0,,14.0,,,27.0,7.0,,25.0,30.0,28.0,15.0,9.0,,5.0,,,5.0,14.0,8.0,,,,11.0,1.0,1.0,14.0,15.0,14.0,21.0,29.0,30.0
23013,2025-10-13_Olga6/,2-MIX,0.0,5.0,1.0,1.0,0.0,2.0,7.0,6.0,,3.0,0.0,2.0,,14.0,14.0,13.0,,14.0,18.0,16.0,,14.0,,13.0,,9.0,30.0,31.0,,30.0,20.0,6.0,,6.0,,28.0,,,,,,,1.0,1.0,1.0,13.0,15.0,13.0,31.0,29.0,31.0
23014,2025-10-13_Olga6/,2-MIX,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,,,,,,28.0,29.0,,,,17.0,,,,,,,16.0,15.0,,,,27.0,0.0,,,,,,0.0,0.0,,,,,,,
23015,2025-10-13_Olga6/,2-MIX,0.0,20.0,0.0,14.0,3.0,0.0,3.0,16.0,0.0,2.0,0.0,0.0,,14.0,,14.0,16.0,,19.0,14.0,,18.0,,,,15.0,,25.0,16.0,,21.0,11.0,,19.0,,,8.0,14.0,21.0,,,,1.0,0.0,0.0,14.0,,,30.0,,
23016,2025-10-13_Olga6/,2-MIX,,73.0,1.0,56.0,1.0,2.0,5.0,52.0,1.0,9.0,0.0,0.0,,14.0,16.0,14.0,27.0,16.0,15.0,15.0,16.0,16.0,,,,0.0,28.0,3.0,17.0,21.0,7.0,2.0,28.0,7.0,,,20.0,15.0,3.0,,,,3.0,2.0,2.0,15.0,15.0,14.0,12.0,27.0,17.0
23017,2025-10-13_Olga6/,2-MIX,0.0,11.0,0.0,8.0,0.0,0.0,1.0,9.0,0.0,3.0,0.0,0.0,,14.0,,14.0,,,28.0,14.0,,15.0,,,,15.0,,26.0,,,16.0,9.0,,15.0,,,11.0,14.0,8.0,,,,2.0,1.0,1.0,14.0,15.0,14.0,30.0,29.0,30.0
23018,2025-10-13_Olga6/,2-MIX,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,14.0,33.0,14.0,,14.0,19.0,25.0,,16.0,,,,17.0,11.0,30.0,,30.0,25.0,19.0,,18.0,,,,1.0,25.0,19.0,,,,0.0,2.0,2.0,,15.0,14.0,,8.0,30.0
23019,2025-10-13_Olga6/,2-MIX,2.0,23.0,1.0,23.0,1.0,0.0,3.0,17.0,0.0,8.0,0.0,4.0,25.0,14.0,14.0,14.0,32.0,,13.0,14.0,,16.0,,13.0,17.0,12.0,30.0,12.0,12.0,,25.0,13.0,,14.0,,25.0,0.0,,,,,,2.0,1.0,1.0,16.0,16.0,14.0,22.0,28.0,30.0
23020,2025-10-13_Olga6/,2-MIX,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,25.0,22.0,,,,,,,19.0,,,14.0,19.0,22.0,,,,,,,25.0,,,17.0,4.0,14.0,25.0,,,,0.0,0.0,1.0,,,13.0,,,31.0
23021,2025-10-13_Olga6/,2-MIX,0.0,14.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,12.0,0.0,0.0,,16.0,,,,,19.0,20.0,,14.0,,,,13.0,,,,,20.0,24.0,,11.0,,,0.0,,,,,,2.0,0.0,0.0,26.0,,,15.0,,
24003,2025-10-13_Olga6/,2-MIX,2.0,16.0,0.0,8.0,5.0,2.0,3.0,24.0,0.0,5.0,0.0,0.0,15.0,15.0,,15.0,15.0,14.0,20.0,15.0,,15.0,,,29.0,9.0,,24.0,12.0,26.0,16.0,4.0,,14.0,,,8.0,15.0,11.0,,,,2.0,1.0,0.0,15.0,15.0,,25.0,29.0,
24004,2025-10-13_Olga6/,2-MIX,0.0,44.0,0.0,29.0,8.0,0.0,4.0,24.0,0.0,27.0,0.0,4.0,,15.0,,14.0,15.0,,19.0,15.0,,14.0,,15.0,,10.0,,14.0,16.0,,17.0,11.0,,11.0,,16.0,11.0,18.0,12.0,,,,13.0,1.0,0.0,14.0,17.0,,13.0,27.0,
24005,2025-10-13_Olga6/,2-MIX,2.0,33.0,0.0,13.0,2.0,2.0,7.0,16.0,1.0,2.0,0.0,0.0,14.0,15.0,,15.0,15.0,21.0,16.0,16.0,21.0,14.0,,,21.0,5.0,,15.0,29.0,22.0,19.0,7.0,23.0,15.0,,,13.0,15.0,13.0,,,,1.0,2.0,2.0,14.0,15.0,13.0,30.0,26.0,31.0
24006,2025-10-13_Olga6/,2-MIX,2.0,23.0,2.0,27.0,0.0,2.0,4.0,21.0,1.0,11.0,0.0,0.0,19.0,15.0,18.0,15.0,,17.0,17.0,17.0,41.0,14.0,,,3.0,2.0,3.0,9.0,,3.0,12.0,4.0,3.0,5.0,,,14.0,14.0,3.0,,,,5.0,1.0,1.0,14.0,41.0,14.0,5.0,3.0,30.0
24007,2025-10-13_Olga6/,2-MIX,3.0,42.0,10.0,88.0,25.0,1.0,10.0,,2.0,19.0,0.0,3.0,15.0,15.0,15.0,14.0,14.0,15.0,14.0,,14.0,14.0,,14.0,25.0,11.0,8.0,12.0,11.0,29.0,18.0,,29.0,9.0,,27.0,16.0,14.0,11.0,,,,14.0,5.0,1.0,14.0,15.0,20.0,12.0,7.0,24.0
24009,2025-10-13_Olga6/,2-MIX,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,14.0,,,,,,,,,,,,30.0,,,,,,0.0,,,,,,0.0,0.0,1.0,,,14.0,,,30.0
24010,2025-10-13_Olga6/,2-MIX,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,14.0,27.0,,,,27.0,,,18.0,,,,17.0,17.0,,,,17.0,,,17.0,,,,2.0,19.0,18.0,,,,0.0,1.0,0.0,,27.0,,,17.0,
24011,2025-10-13_Olga6/,2-MIX,0.0,73.0,7.0,87.0,10.0,2.0,18.0,46.0,0.0,3.0,0.0,1.0,,15.0,18.0,15.0,14.0,15.0,17.0,15.0,,15.0,,33.0,,11.0,5.0,11.0,18.0,20.0,12.0,10.0,,10.0,,11.0,31.0,15.0,12.0,,,,6.0,2.0,1.0,15.0,17.0,15.0,21.0,13.0,29.0
24012,2025-10-13_Olga6/,2-MIX,0.0,17.0,0.0,5.0,0.0,0.0,4.0,12.0,1.0,6.0,0.0,0.0,,15.0,,15.0,,,18.0,14.0,16.0,14.0,,,,11.0,,25.0,,,19.0,12.0,28.0,13.0,,,6.0,15.0,25.0,,,,2.0,1.0,1.0,15.0,15.0,14.0,26.0,29.0,30.0
24014,2025-10-13_Olga6/,2-MIX,0.0,8.0,0.0,4.0,0.0,1.0,2.0,8.0,1.0,1.0,0.0,0.0,,15.0,,15.0,,14.0,22.0,14.0,15.0,18.0,,,,4.0,,13.0,,30.0,14.0,6.0,29.0,26.0,,,5.0,14.0,7.0,,,,1.0,1.0,1.0,18.0,14.0,14.0,26.0,30.0,30.0
24015,2025-10-13_Olga6/,2-MIX,2.0,26.0,0.0,17.0,0.0,2.0,9.0,27.0,,14.0,0.0,1.0,14.0,15.0,,14.0,,15.0,19.0,14.0,,14.0,,14.0,25.0,11.0,,21.0,,28.0,13.0,10.0,,15.0,,30.0,14.0,14.0,13.0,,,,10.0,0.0,0.0,14.0,,,22.0,,
1,2025-10-13_Olga6/,3-24H,3.0,54.0,2.0,145.0,10.0,2.0,5.0,21.0,1.0,,0.0,0.0,15.0,15.0,16.0,15.0,16.0,18.0,16.0,16.0,16.0,,,,7.0,2.0,5.0,2.0,13.0,23.0,5.0,4.0,28.0,,,,26.0,16.0,1.0,,,,6.0,0.0,0.0,17.0,,,2.0,,
2,2025-10-13_Olga6/,3-24H,2.0,21.0,2.0,79.0,8.0,4.0,10.0,19.0,0.0,8.0,0.0,0.0,21.0,15.0,16.0,15.0,17.0,16.0,19.0,16.0,,16.0,,,22.0,16.0,28.0,13.0,14.0,22.0,18.0,14.0,,22.0,,,11.0,16.0,14.0,,,,7.0,0.0,0.0,16.0,,,20.0,,
3,2025-10-13_Olga6/,3-24H,0.0,0.0,1.0,2.0,,0.0,0.0,,0.0,,0.0,1.0,,,16.0,15.0,,,,,,,,16.0,,,28.0,25.0,,,,,,,,28.0,0.0,,,,,,,0.0,0.0,,,,,,
4,2025-10-13_Olga6/,3-24H,4.0,16.0,2.0,74.0,8.0,3.0,6.0,14.0,0.0,10.0,0.0,1.0,17.0,15.0,17.0,15.0,16.0,17.0,20.0,16.0,,17.0,,16.0,15.0,15.0,27.0,12.0,15.0,26.0,19.0,15.0,,15.0,,28.0,4.0,18.0,14.0,,,,9.0,0.0,1.0,17.0,,16.0,16.0,,28.0
5,2025-10-13_Olga6/,3-24H,0.0,20.0,1.0,63.0,,1.0,6.0,13.0,1.0,9.0,1.0,2.0,,16.0,17.0,16.0,,18.0,23.0,17.0,21.0,17.0,16.0,28.0,,6.0,27.0,4.0,,26.0,9.0,4.0,23.0,7.0,28.0,4.0,7.0,18.0,5.0,,,,8.0,0.0,,17.0,,,9.0,,
6,2025-10-13_Olga6/,3-24H,12.0,56.0,7.0,127.0,6.0,2.0,3.0,20.0,4.0,8.0,0.0,1.0,16.0,16.0,18.0,16.0,16.0,19.0,21.0,16.0,16.0,24.0,,34.0,6.0,0.0,7.0,0.0,7.0,13.0,21.0,5.0,6.0,5.0,,10.0,29.0,16.0,4.0,,,,6.0,1.0,0.0,16.0,16.0,,5.0,28.0,
7,2025-10-13_Olga6/,3-24H,5.0,23.0,2.0,57.0,12.0,7.0,5.0,18.0,0.0,23.0,0.0,3.0,17.0,15.0,16.0,16.0,17.0,17.0,18.0,16.0,,16.0,,16.0,13.0,7.0,26.0,7.0,8.0,7.0,21.0,7.0,,7.0,,6.0,17.0,16.0,8.0,,,,14.0,1.0,0.0,16.0,17.0,,6.0,27.0,
8,2025-10-13_Olga6/,3-24H,2.0,48.0,0.0,121.0,10.0,1.0,9.0,36.0,0.0,5.0,0.0,1.0,17.0,16.0,,15.0,16.0,18.0,16.0,16.0,,23.0,,16.0,23.0,8.0,,8.0,9.0,26.0,11.0,10.0,,8.0,,28.0,10.0,16.0,12.0,,,,3.0,0.0,0.0,16.0,,,18.0,,
9,2025-10-13_Olga6/,3-24H,7.0,67.0,18.0,130.0,1.0,2.0,5.0,86.0,1.0,8.0,1.0,0.0,16.0,15.0,16.0,15.0,33.0,20.0,19.0,15.0,19.0,16.0,15.0,,3.0,2.0,5.0,2.0,11.0,11.0,18.0,4.0,25.0,11.0,29.0,,39.0,15.0,3.0,,,,3.0,0.0,1.0,16.0,,15.0,23.0,,29.0
10,2025-10-13_Olga6/,3-24H,2.0,53.0,1.0,122.0,2.0,3.0,9.0,23.0,0.0,11.0,0.0,0.0,17.0,15.0,18.0,15.0,21.0,19.0,18.0,16.0,,16.0,,,12.0,4.0,26.0,8.0,12.0,23.0,11.0,9.0,,7.0,,,26.0,16.0,8.0,,,,9.0,1.0,1.0,16.0,17.0,15.0,16.0,27.0,29.0
11,2025-10-13_Olga6/,3-24H,2.0,73.0,8.0,146.0,7.0,6.0,12.0,34.0,0.0,11.0,1.0,1.0,17.0,15.0,15.0,15.0,18.0,16.0,19.0,16.0,,15.0,15.0,16.0,22.0,7.0,10.0,2.0,13.0,22.0,15.0,7.0,,13.0,29.0,28.0,24.0,15.0,8.0,,,,10.0,0.0,1.0,16.0,,15.0,13.0,,29.0
12,2025-10-13_Olga6/,3-24H,1.0,53.0,2.0,115.0,3.0,2.0,11.0,20.0,0.0,16.0,0.0,0.0,25.0,15.0,23.0,15.0,15.0,15.0,17.0,15.0,,16.0,,,19.0,9.0,19.0,9.0,10.0,21.0,17.0,11.0,,14.0,,,30.0,15.0,9.0,,,,13.0,0.0,1.0,15.0,,15.0,17.0,,29.0
13,2025-10-13_Olga6/,3-24H,1.0,17.0,0.0,26.0,1.0,1.0,4.0,26.0,1.0,20.0,0.0,1.0,33.0,15.0,,15.0,34.0,15.0,24.0,15.0,15.0,16.0,,15.0,11.0,3.0,,20.0,10.0,29.0,10.0,4.0,29.0,2.0,,29.0,5.0,16.0,4.0,,,,5.0,0.0,1.0,16.0,,15.0,4.0,,29.0
14,2025-10-13_Olga6/,3-24H,5.0,49.0,1.0,92.0,3.0,2.0,10.0,12.0,0.0,8.0,0.0,0.0,15.0,12.0,21.0,16.0,16.0,19.0,18.0,17.0,,16.0,,,18.0,14.0,23.0,11.0,16.0,23.0,16.0,19.0,,18.0,,,11.0,16.0,16.0,,,,6.0,,0.0,16.0,,,14.0,,
15,2025-10-13_Olga6/,3-24H,4.0,52.0,3.0,116.0,24.0,0.0,3.0,17.0,1.0,5.0,1.0,0.0,16.0,15.0,18.0,15.0,16.0,,19.0,16.0,18.0,16.0,16.0,,23.0,12.0,21.0,12.0,13.0,,19.0,14.0,26.0,14.0,28.0,,31.0,16.0,13.0,,,,4.0,1.0,0.0,16.0,18.0,,17.0,26.0,
16,2025-10-13_Olga6/,3-24H,2.0,29.0,2.0,83.0,13.0,0.0,4.0,39.0,0.0,1.0,0.0,0.0,21.0,15.0,19.0,15.0,16.0,,17.0,16.0,,18.0,,,23.0,11.0,12.0,15.0,11.0,,22.0,9.0,,26.0,,,19.0,16.0,8.0,,,,1.0,0.0,0.0,23.0,,,21.0,,
17,2025-10-13_Olga6/,3-24H,2.0,58.0,9.0,187.0,18.0,10.0,5.0,63.0,0.0,,0.0,1.0,25.0,16.0,16.0,16.0,16.0,16.0,20.0,16.0,,,,27.0,17.0,6.0,20.0,5.0,6.0,15.0,16.0,6.0,,,,17.0,14.0,16.0,8.0,,,,44.0,0.0,3.0,16.0,,15.0,7.0,,28.0
18,2025-10-13_Olga6/,3-24H,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,32.0,15.0,32.0,,15.0,,,,,,29.0,29.0,12.0,29.0,12.0,,29.0,,,,,,1.0,15.0,29.0,,,,0.0,0.0,3.0,,,16.0,,,16.0
19,2025-10-13_Olga6/,3-24H,1.0,2.0,2.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,0.0,3.0,24.0,15.0,15.0,23.0,15.0,15.0,,32.0,25.0,32.0,,16.0,20.0,6.0,14.0,21.0,5.0,29.0,,12.0,7.0,12.0,,5.0,7.0,17.0,9.0,,,,2.0,0.0,0.0,24.0,,,12.0,,
1002,2025-10-13_Olga6/,3-24H,3.0,59.0,1.0,126.0,17.0,1.0,6.0,21.0,1.0,14.0,0.0,2.0,17.0,15.0,17.0,15.0,15.0,18.0,17.0,15.0,17.0,15.0,,25.0,24.0,17.0,27.0,15.0,18.0,26.0,14.0,20.0,27.0,21.0,,15.0,31.0,15.0,16.0,,,,9.0,1.0,1.0,15.0,17.0,14.0,20.0,27.0,30.0
1003,2025-10-13_Olga6/,3-24H,3.0,30.0,1.0,66.0,2.0,1.0,7.0,17.0,0.0,15.0,0.0,1.0,15.0,15.0,20.0,15.0,15.0,17.0,20.0,18.0,,15.0,,36.0,27.0,7.0,24.0,6.0,21.0,27.0,15.0,6.0,,1.0,,8.0,22.0,15.0,7.0,,,,9.0,0.0,1.0,16.0,,15.0,8.0,,29.0
1004,2025-10-13_Olga6/,3-24H,1.0,63.0,2.0,129.0,0.0,2.0,3.0,8.0,0.0,38.0,1.0,1.0,16.0,15.0,15.0,15.0,,15.0,22.0,15.0,,14.0,15.0,20.0,28.0,7.0,26.0,4.0,,17.0,18.0,15.0,,8.0,29.0,24.0,11.0,15.0,8.0,,,,23.0,0.0,1.0,15.0,,14.0,11.0,,30.0
1005,2025-10-13_Olga6/,3-24H,1.0,25.0,4.0,35.0,0.0,3.0,6.0,9.0,0.0,2.0,0.0,0.0,21.0,15.0,15.0,14.0,,17.0,16.0,15.0,,19.0,,,23.0,10.0,11.0,11.0,,21.0,13.0,11.0,,25.0,,,8.0,15.0,14.0,,,,0.0,0.0,0.0,,,,,,
1006,2025-10-13_Olga6/,3-24H,2.0,49.0,6.0,142.0,13.0,3.0,10.0,13.0,1.0,7.0,0.0,1.0,16.0,15.0,15.0,15.0,16.0,16.0,17.0,15.0,19.0,15.0,,26.0,23.0,8.0,24.0,4.0,9.0,23.0,20.0,10.0,25.0,7.0,,18.0,23.0,15.0,10.0,,,,7.0,1.0,3.0,17.0,15.0,15.0,19.0,29.0,19.0
1007,2025-10-13_Olga6/,3-24H,,20.0,3.0,18.0,2.0,2.0,7.0,11.0,1.0,4.0,0.0,3.0,,15.0,23.0,16.0,27.0,23.0,23.0,18.0,30.0,15.0,,15.0,,8.0,14.0,10.0,10.0,14.0,10.0,8.0,14.0,15.0,,10.0,18.0,15.0,8.0,,,,3.0,0.0,0.0,17.0,,,14.0,,
1008,2025-10-13_Olga6/,3-24H,0.0,74.0,4.0,204.0,21.0,2.0,7.0,33.0,0.0,13.0,0.0,1.0,,15.0,15.0,14.0,15.0,18.0,22.0,15.0,,15.0,,16.0,,0.0,26.0,0.0,4.0,23.0,6.0,1.0,,8.0,,28.0,18.0,15.0,0.0,,,,12.0,0.0,0.0,15.0,,,19.0,,
1009,2025-10-13_Olga6/,3-24H,0.0,30.0,0.0,67.0,1.0,1.0,6.0,18.0,1.0,5.0,0.0,0.0,,15.0,,15.0,20.0,18.0,20.0,16.0,20.0,17.0,,,,7.0,,4.0,24.0,26.0,14.0,5.0,24.0,6.0,,,7.0,16.0,11.0,,,,2.0,1.0,1.0,20.0,16.0,15.0,17.0,28.0,29.0
1010,2025-10-13_Olga6/,3-24H,,94.0,9.0,194.0,3.0,3.0,9.0,58.0,1.0,2.0,1.0,2.0,,15.0,17.0,14.0,24.0,15.0,19.0,15.0,38.0,28.0,15.0,32.0,,4.0,6.0,3.0,8.0,6.0,7.0,7.0,6.0,13.0,29.0,6.0,51.0,15.0,5.0,,,,2.0,2.0,0.0,30.0,15.0,,12.0,6.0,
1011,2025-10-13_Olga6/,3-24H,4.0,57.0,5.0,146.0,6.0,3.0,8.0,25.0,0.0,21.0,0.0,0.0,15.0,14.0,16.0,14.0,16.0,18.0,22.0,15.0,,15.0,,,15.0,10.0,13.0,6.0,7.0,8.0,13.0,12.0,,12.0,,,24.0,15.0,6.0,,,,20.0,0.0,2.0,15.0,,14.0,13.0,,22.0
1012,2025-10-13_Olga6/,3-24H,4.0,53.0,2.0,138.0,2.0,2.0,17.0,25.0,2.0,24.0,0.0,0.0,16.0,16.0,27.0,16.0,28.0,16.0,15.0,16.0,19.0,16.0,,,11.0,6.0,12.0,6.0,9.0,19.0,1.0,7.0,22.0,11.0,,,38.0,16.0,7.0,,,,15.0,0.0,7.0,16.0,,16.0,11.0,,26.0
1013,2025-10-13_Olga6/,3-24H,2.0,15.0,2.0,130.0,2.0,10.0,8.0,44.0,1.0,7.0,0.0,9.0,18.0,15.0,19.0,11.0,23.0,17.0,16.0,15.0,28.0,15.0,,12.0,23.0,9.0,23.0,11.0,13.0,16.0,15.0,9.0,16.0,9.0,,21.0,19.0,15.0,9.0,,,,53.0,1.0,1.0,6.0,16.0,15.0,14.0,28.0,29.0
1014,2025-10-13_Olga6/,3-24H,4.0,114.0,11.0,185.0,4.0,0.0,7.0,44.0,0.0,16.0,0.0,2.0,16.0,15.0,16.0,15.0,15.0,,24.0,15.0,,15.0,,15.0,17.0,2.0,10.0,2.0,13.0,,8.0,4.0,,5.0,,12.0,30.0,15.0,14.0,,,,14.0,0.0,1.0,15.0,,15.0,4.0,,29.0
1015,2025-10-13_Olga6/,3-24H,3.0,45.0,2.0,91.0,3.0,2.0,5.0,9.0,0.0,18.0,0.0,1.0,16.0,15.0,30.0,15.0,18.0,16.0,20.0,17.0,,15.0,,16.0,15.0,3.0,5.0,3.0,5.0,25.0,15.0,5.0,,7.0,,28.0,10.0,16.0,3.0,,,,15.0,0.0,1.0,15.0,,15.0,6.0,,29.0
1016,2025-10-13_Olga6/,3-24H,1.0,19.0,8.0,51.0,3.0,2.0,10.0,3.0,1.0,13.0,0.0,1.0,37.0,16.0,15.0,15.0,19.0,16.0,17.0,19.0,15.0,16.0,,15.0,7.0,7.0,21.0,4.0,15.0,24.0,12.0,7.0,29.0,7.0,,29.0,8.0,15.0,6.0,,,,11.0,0.0,0.0,17.0,,,11.0,,
1017,2025-10-13_Olga6/,3-24H,3.0,58.0,4.0,128.0,24.0,2.0,4.0,24.0,1.0,9.0,0.0,2.0,19.0,14.0,15.0,15.0,15.0,18.0,16.0,15.0,19.0,14.0,,15.0,7.0,7.0,7.0,5.0,8.0,25.0,13.0,9.0,25.0,20.0,,11.0,28.0,15.0,9.0,,,,10.0,2.0,0.0,15.0,19.0,,11.0,24.0,
1018,2025-10-13_Olga6/,3-24H,2.0,59.0,11.0,179.0,,2.0,9.0,40.0,2.0,14.0,0.0,2.0,21.0,15.0,15.0,15.0,,27.0,15.0,14.0,25.0,15.0,,25.0,6.0,1.0,4.0,1.0,,6.0,7.0,3.0,13.0,6.0,,2.0,14.0,15.0,4.0,,,,10.0,1.0,0.0,15.0,40.0,,5.0,4.0,
1019,2025-10-13_Olga6/,3-24H,30.0,106.0,11.0,199.0,30.0,4.0,,,0.0,0.0,1.0,1.0,16.0,16.0,18.0,15.0,16.0,18.0,,,,,16.0,33.0,7.0,3.0,2.0,3.0,5.0,7.0,,,,,28.0,11.0,47.0,16.0,2.0,,,,2.0,1.0,0.0,22.0,20.0,,17.0,24.0,
1020,2025-10-13_Olga6/,3-24H,2.0,55.0,5.0,103.0,4.0,1.0,2.0,28.0,1.0,8.0,0.0,2.0,28.0,16.0,17.0,16.0,16.0,18.0,21.0,17.0,41.0,17.0,,16.0,10.0,2.0,18.0,2.0,14.0,26.0,13.0,4.0,3.0,5.0,,12.0,28.0,16.0,4.0,,,,8.0,0.0,0.0,17.0,,,14.0,,
2002,2025-10-13_Olga6/,3-24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,25.0,,,,,,,,,,,,19.0,,,,0.0,,,,,,0.0,0.0,0.0,,,,,,
2003,2025-10-13_Olga6/,3-24H,31.0,101.0,17.0,227.0,53.0,3.0,6.0,54.0,0.0,16.0,0.0,1.0,14.0,14.0,15.0,14.0,14.0,22.0,23.0,14.0,,15.0,,33.0,5.0,3.0,6.0,0.0,5.0,5.0,6.0,8.0,,5.0,,11.0,44.0,14.0,7.0,,,,9.0,0.0,0.0,14.0,,,10.0,,
2004,2025-10-13_Olga6/,3-24H,0.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,,21.0,33.0,,,27.0,,,,27.0,,,,12.0,11.0,,,11.0,,,,17.0,,,0.0,,,,,,0.0,0.0,0.0,,,,,,
2005,2025-10-13_Olga6/,3-24H,1.0,33.0,7.0,60.0,0.0,2.0,5.0,13.0,1.0,2.0,0.0,1.0,15.0,14.0,14.0,13.0,,16.0,16.0,13.0,14.0,19.0,,13.0,29.0,17.0,22.0,13.0,,15.0,21.0,15.0,30.0,24.0,,31.0,10.0,14.0,24.0,,,,4.0,1.0,0.0,19.0,15.0,,22.0,29.0,
